Name,Address,City,State,Dave Score,Community Score,Score Diffrence,Number of Reviews,Url,Date
Cafe Crevier,25 E Main St, Denville, NJ,8.50,8.40,-0.10,13,https://onebite.app/restaurant/cafe-crevier-denville-nj-f23240a0,5/9/2024
Coniglio's Old Fashioned,11 South St, Morristown, NJ,8.30,8.30,0.00,24,https://onebite.app/restaurant/coniglios-old-fashioned-morristown-nj-f4aeae2f,5/8/2024
Krust Kitchen,7 Cross St, Madison, NJ,7.30,8.00,0.7,6,https://onebite.app/restaurant/krust-kitchen-madison-nj-fee6e6d2,5/7/2024
Massa Roman Square Pizza & Italian Specialties,405A Park Ave, Scotch Plains, NJ,8.10,8.00,-0.10,39,https://onebite.app/restaurant/massa-roman-square-pizza-and-italian-specialties-scotch-plains-nj-0a314d89,5/6/2024
IL FORNO A LEGNA,1464 Main St, Rahway, NJ,6.80,8.10,1.30,33,https://onebite.app/restaurant/il-forno-a-legna-rahway-nj-2f326d70,5/3/2024
Town Spa Pizza,1119 Washington St, Stoughton, MA,9,8.3,-0.7,268,https://onebite.app/restaurant/town-spa-pizza-stoughton-ma-16b7b02b,#N/A
Sabatino’s,513 Valley St, Maplewood, NJ,7.80,8.20,0.40,14,https://onebite.app/restaurant/sabatinos-maplewood-nj-3e39e71f,5/2/2024
Bunny's Sports Bar,12-14 W South Orange Ave, South Orange, NJ,8.30,8.10,-0.20,16,https://onebite.app/restaurant/bunnys-sports-bar-south-orange-nj-735a4cf4,5/1/2024
Nino's Pizza & Restaurant,442 Bergen St, Harrison, NJ,7.40,7.80,0.40,30,https://onebite.app/restaurant/ninos-pizza-and-restaurant-harrison-nj-82b4fcf3,4/30/2024
da-Angelo Pizzeria & Ristorante,815 Willis Ave, Albertson, NY,7.30,8.10,0.80,34,https://onebite.app/restaurant/daangelo-pizzeria-and-ristorante-albertson-ny-469b7150,4/29/2024
Gino's Pizza,628 Willis Ave, Williston Park, NY,7.40,8.10,0.70,29,https://onebite.app/restaurant/ginos-pizza-williston-park-ny-9b9abf20,4/26/2024
Tortorice's Pizza & Catering,1746 W Grand Ave, Chicago, IL,7.30,7.40,0.10,32,https://onebite.app/restaurant/tortorices-pizza-and-catering-chicago-il-1381ad7d,4/17/2024
Pizza By Napoli,3425 W Thunderbird Rd, Phoenix, AZ,7.20,7.10,-0.10,16,https://onebite.app/restaurant/pizza-by-napoli-phoenix-az-0ee51fd0,4/16/2024
Arrivederci Pinnacle Peak,8900 E Pinnacle Peak Rd, Scottsdale, AZ,7.60,8.10,0.50,22,https://onebite.app/restaurant/arrivederci-pinnacle-peak-scottsdale-az-f10eaa24,4/15/2024
Trevor's Liquor,3601 E Indian School Rd, Phoenix, AZ,8.30,8.20,-0.10,25,https://onebite.app/restaurant/trevors-liquor-phoenix-az-59456f85,4/12/2024
Pizza on 40th,3937 E Indian School Rd, Phoenix, AZ,7.10,7.50,0.40,23,https://onebite.app/restaurant/pizza-on-40th-phoenix-az-d4a1b77f,4/11/2024
Andiamo Pizzeria,7132 E Becker Ln, Scottsdale, AZ,8.20,7.40,-0.80,10,https://onebite.app/restaurant/andiamo-pizzeria-scottsdale-az-75e9d8e6,4/10/2024
Pizzeria Sapienza,51 S Pearl St, Albany, NY,6.60,7.10,0.50,23,https://onebite.app/restaurant/pizzeria-sapienza-albany-ny-32d7fe69,4/9/2024
Prima Pizzeria,3610 State St, Schenectady, NY,7.80,7.80,0.00,21,https://onebite.app/restaurant/prima-pizzeria-schenectady-ny-00c8387a,4/8/2024
La Grande Orange Pizzeria,4410 N 40th St, Phoenix, AZ,7.90,7.60,-0.30,29,https://onebite.app/restaurant/la-grande-orange-pizzeria-phoenix-az-307340bc,4/4/2024
North Italia,4925 N 40th St, Phoenix, AZ,6.60,7.80,1.20,9,https://onebite.app/restaurant/north-italia-phoenix-az-35df674b,4/3/2024
Marina’s Pizza & Pasta,12121 W Linebaugh Ave, Tampa, FL,7.50,7.50,0.00,21,https://onebite.app/restaurant/marinas-pizza-and-pasta-tampa-fl-bd4289f4,4/2/2024
Lee's Grocery,2210 N Central Ave, Tampa, FL,6.30,7.70,1.40,19,https://onebite.app/restaurant/lees-grocery-tampa-fl-e3028486,4/1/2024
Santoro's Pizzeria,1329 W Cass St, Tampa, FL,7.80,7.80,0.00,84,https://onebite.app/restaurant/santoros-pizzeria-tampa-fl-cd6c3d07,3/29/2024
Sally O'Neal's Pizza Hotline,1319 S Howard Ave, Tampa, FL,6.10,6.20,0.10,13,https://onebite.app/restaurant/sally-oneals-pizza-hotline-tampa-fl-929d2356,3/28/2024
Forbici Modern Italian,1633 W Snow Ave, Tampa, FL,7.90,7.40,-0.50,22,https://onebite.app/restaurant/forbici-modern-italian-tampa-fl-4b6ad563,3/27/2024
Piper's Scratch Pizza Shop,34940 US Hwy 19 N, Palm Harbor, FL,7.60,8.20,0.60,33,https://onebite.app/restaurant/pipers-scratch-pizza-shop-palm-harbor-fl-2c88b093,3/25/2024
DiGiorgio’s Pizzeria,191 Orange St, Palm Harbor, FL,7.50,8.00,0.50,25,https://onebite.app/restaurant/digiorgios-pizzeria-palm-harbor-fl-c3bbde91,3/22/2024
Madison Avenue Pizza,2660 Bayshore Blvd, Dunedin, FL,7.70,7.60,-0.10,54,https://onebite.app/restaurant/madison-avenue-pizza-dunedin-fl-adc1fe8a,3/21/2024
The NONA Slice House,997 Main St, Safety Harbor, FL,8.10,8.30,0.20,17,https://onebite.app/restaurant/the-nona-slice-house-safety-harbor-fl-0312de25,3/20/2024
Cristino's Coal Oven Pizza,1101 S Ft Harrison Ave, Clearwater, FL,7.80,8.00,0.20,126,https://onebite.app/restaurant/cristinos-coal-oven-pizza-clearwater-fl-31d562d2,3/19/2024
Pizza Box,923 Central Ave, St. Petersburg, FL,7.80,8.10,0.3,6,https://onebite.app/restaurant/pizza-box-st-petersburg-fl-fa504266,3/18/2024
DeLosa's Pizza,12800 Village Blvd, Madeira Beach, FL,7.10,6.70,-0.40,95,https://onebite.app/restaurant/delosas-pizza-madeira-beach-fl-f01689ff,3/14/2024
Britt's Pizza,10709 Gulf Blvd, Treasure Island, FL,6.80,7.20,0.40,63,https://onebite.app/restaurant/britts-pizza-treasure-island-fl-dcf026e5,3/13/2024
Tobys Original Little Italy Pizza,3523 49th St N, St. Petersburg, FL,7.70,7.40,-0.30,66,https://onebite.app/restaurant/tobys-original-little-italy-pizza-st-petersburg-fl-70e4d84c,3/11/2024
Gianni’s Pizza & More,4925 E State Rd 64, Bradenton, FL,7.30,7.50,0.20,28,https://onebite.app/restaurant/giannis-pizza-and-more-bradenton-fl-cce3348d,3/8/2024
Ricos Pizzeria,322 John Ringling Blvd, Sarasota, FL,7.20,6.90,-0.30,33,https://onebite.app/restaurant/ricos-pizzeria-sarasota-fl-19e1de09,3/7/2024
Venezia Italian Restaurant,373 St Armands Cir, Sarasota, FL,6.70,7.60,0.90,44,https://onebite.app/restaurant/venezia-italian-restaurant-sarasota-fl-8bde1e6f,3/6/2024
IL Panificio Pizzeria Downtown,1703 Main St, Sarasota, FL,7.40,7.70,0.30,45,https://onebite.app/restaurant/il-panificio-pizzeria-downtown-sarasota-fl-53ae411a,3/5/2024
Zinncredible Pizza,4450 S Pine Island Rd, Davie, FL,4.80,7.70,2.90,16,https://onebite.app/restaurant/zinncredible-pizza-davie-fl-c8a2eb35,3/1/2024
Esposito's Pizza Bar Restaurant,2221 S University Dr, Davie, FL,7.50,7.30,-0.20,24,https://onebite.app/restaurant/espositos-pizza-bar-restaurant-davie-fl-5bf525e5,2/29/2024
Big Bang Pizzeria,977 SW 71st Ave, North Lauderdale, FL,7.50,8.10,0.60,9,https://onebite.app/restaurant/big-bang-pizzeria-north-lauderdale-fl-90115b32,2/28/2024
Palms Plaza,22191 Powerline Rd, Boca Raton, FL,7.10,8.00,0.90,14,https://onebite.app/restaurant/palms-plaza-boca-raton-fl-11989717,2/27/2024
Aunt Lulu's NY Style Pizza and Kitchen,19785 Hampton Dr, Boca Raton, FL,7.80,7.90,0.1,7,https://onebite.app/restaurant/aunt-lulus-ny-style-pizza-and-kitchen-boca-raton-fl-8f720f5b,2/26/2024
La Piazza Pizzeria & Restaurant,1445 Richmond Ave, Staten Island, NY,7.70,7.20,-0.50,16,https://onebite.app/restaurant/la-piazza-pizzeria-and-restaurant-staten-island-ny-eacee52f,2/20/2024
Ciro Pizza Cafe,862 Huguenot Ave, Staten Island, NY,8.10,7.40,-0.70,44,https://onebite.app/restaurant/ciro-pizza-cafe-staten-island-ny-93b427a6,2/19/2024
The Pizza Parlor,6 Sneden Ave, Staten Island, NY,7.70,7.00,-0.70,38,https://onebite.app/restaurant/the-pizza-parlor-staten-island-ny-901d9419,2/16/2024
Seppe Pizza Bar,3 Navy Pier Ct, Staten Island, NY,7.90,8.20,0.30,21,https://onebite.app/restaurant/seppe-pizza-bar-staten-island-ny-4bbcbeee,2/14/2024
Dom Demarco's Pizzeria & Wine Bar,9785 W Charleston Blvd, Las Vegas, NV,7.90,7.80,-0.10,41,https://onebite.app/restaurant/dom-demarcos-pizzeria-and-wine-bar-las-vegas-nv-ecfcbff4,2/13/2024
Monzú Italian Oven + Bar,6020 W Flamingo Rd, Las Vegas, NV,7.80,7.70,-0.10,21,https://onebite.app/restaurant/monzu-italian-oven-bar-las-vegas-nv-17cd7ecd,2/8/2024
The Sand Dollar Lounge,3355 Spring Mountain Rd, Las Vegas, NV,6.50,7.90,1.40,27,https://onebite.app/restaurant/the-sand-dollar-lounge-las-vegas-nv-93747f03,2/7/2024
Pier 76,76 Bay St, Staten Island, NY,7.60,8.10,0.50,28,https://onebite.app/restaurant/pier-76-staten-island-ny-99c41184,2/6/2024
Joe's Pizza NYC,234 NW 25th St, Miami, FL,8.20,8.20,0.00,9,https://onebite.app/restaurant/joes-pizza-nyc-miami-fl-8b131d3e,2/5/2024
Jimmy Max,280 Watchogue Rd, Staten Island, NY,7.70,7.90,0.20,29,https://onebite.app/restaurant/jimmy-max-staten-island-ny-21a43a0b,2/2/2024
The Vic Tavern,107 Hobart Ave, Bayonne, NJ,7.70,7.90,0.2,6,https://onebite.app/restaurant/the-vic-tavern-bayonne-nj-83d2cca7,1/31/2024
The Vic Tavern,107 Hobart Ave, Bayonne, NJ,7.70,7.90,0.2,6,https://onebite.app/restaurant/the-vic-tavern-bayonne-nj-83d2cca7,1/31/2024
Francesco's Pizzeria,357 Hope St, Providence, RI,7.90,7.90,0,7,https://onebite.app/restaurant/francescos-pizzeria-providence-ri-d42cb9a7,1/26/2024
Frank Pepe Pizzeria Napoletana,341 N University Dr, Plantation, FL,8.10,8.10,0.00,14,https://onebite.app/restaurant/frank-pepe-pizzeria-napoletana-plantation-fl-b768463c,1/23/2024
Pie Life Pizza,691 S Raymond Ave, Pasadena, CA,7.70,7.60,-0.10,23,https://onebite.app/restaurant/pie-life-pizza-pasadena-ca-baa87698,1/22/2024
Casa Bianca Pizza Pie,1650 Colorado Blvd, Los Angeles, CA,6.80,7.70,0.90,14,https://onebite.app/restaurant/casa-bianca-pizza-pie-los-angeles-ca-576b2209,1/19/2024
Ozzy's Apizza,357 Arden Ave, Glendale, CA,8.10,8.10,0.00,15,https://onebite.app/restaurant/ozzys-apizza-glendale-ca-45f78f36,1/18/2024
The Luggage Room Pizzeria & La Grande Orange,260 S Raymond Ave, Pasadena, CA,6.90,7.80,0.90,14,https://onebite.app/restaurant/the-luggage-room-pizzeria-and-la-grande-orange-pasadena-ca-257da493,1/17/2024
The Luggage Room Pizzeria & La Grande Orange,260 S Raymond Ave, Pasadena, CA,6.90,7.80,0.90,14,https://onebite.app/restaurant/the-luggage-room-pizzeria-and-la-grande-orange-pasadena-ca-257da493,1/17/2024
Buddy’s Union Villa,190 Washington St, Easton, MA,8.20,7.80,-0.40,32,https://onebite.app/restaurant/buddys-union-villa-easton-ma-85a107fd,1/12/2024
Ultimate Pizza,277 Turnpike St, Easton, MA,8.10,7.70,-0.40,28,https://onebite.app/restaurant/ultimate-pizza-easton-ma-1aef2e0e,1/11/2024
J’s Flying Pizza,815 South St, Bridgewater, MA,8.10,8.30,0.20,36,https://onebite.app/restaurant/js-flying-pizza-bridgewater-ma-0e469c4a,1/10/2024
Damien's,279 Spring St, Hanson, MA,7.90,8.00,0.10,26,https://onebite.app/restaurant/damiens-hanson-ma-395e292d,1/9/2024
Venus Cafe,47 South Ave, Whitman, MA,8.10,8.00,-0.10,38,https://onebite.app/restaurant/venus-cafe-whitman-ma-1a1a8559,1/8/2024
Denly Gardens Old World Pizza,25 Lake St, Weymouth, MA,8.10,8.10,0.00,63,https://onebite.app/restaurant/denly-gardens-old-world-pizza-weymouth-ma-b4ec4a3d,1/5/2024
Molinari's,789 Adams St, Boston, MA,7.40,8.00,0.60,26,https://onebite.app/restaurant/molinaris-boston-ma-8547ccf1,1/4/2024
Zack's Pizza,79 N Main St, Randolph, MA,7.70,8.10,0.40,28,https://onebite.app/restaurant/zacks-pizza-randolph-ma-22ba1898,1/3/2024
Bardo's Pizza Trailer,31 Astor Ave, Norwood, MA,6.80,8.10,1.3,6,https://onebite.app/restaurant/bardos-pizza-trailer-norwood-ma-ce980ab7,1/2/2024
DiVito Brothers Italian Pizzeria,446 Boston Rd, Billerica, MA,7.30,7.50,0.20,21,https://onebite.app/restaurant/divito-brothers-italian-pizzeria-billerica-ma-a6471df1,12/26/2023
DiVito Brothers Italian Pizzeria,446 Boston Rd, Billerica, MA,7.30,7.50,0.20,21,https://onebite.app/restaurant/divito-brothers-italian-pizzeria-billerica-ma-a6471df1,12/26/2023
Denneno's Pizza,545 Pearl St, Stoughton, MA,8.10,8.30,0.20,26,https://onebite.app/restaurant/dennenos-pizza-stoughton-ma-2b98a06f,12/20/2023
Pizzeria Enzina,1056 Main St, Waltham, MA,7.80,8.10,0.30,24,https://onebite.app/restaurant/pizzeria-enzina-waltham-ma-0815f141,12/19/2023
Mike's Pie,93 River Rd, Hudson, NH,7.20,8.30,1.10,74,https://onebite.app/restaurant/mikes-pie-hudson-nh-b8efcc9b,12/18/2023
Joanie's Pizza,83 Parkhurst Rd, Chelmsford, MA,8.40,8.50,0.10,93,https://onebite.app/restaurant/joanies-pizza-chelmsford-ma-f55812fe,12/15/2023
Turnpike Market,509 Middlesex Tpke, Billerica, MA,7.10,7.30,0.20,10,https://onebite.app/restaurant/turnpike-market-billerica-ma-dfc858bb,12/14/2023
Dino’s Brick Oven Pizzeria,389 Lowell St, Wakefield, MA,7.70,7.90,0.20,36,https://onebite.app/restaurant/dinos-brick-oven-pizzeria-wakefield-ma-bb69c434,12/13/2023
The Brown Jug,1014 Revere Beach Pkwy, Chelsea, MA,7.50,8.10,0.60,44,https://onebite.app/restaurant/the-brown-jug-chelsea-ma-dd338c38,12/12/2023
The Astarita,797 5th Ave, Brooklyn, NY,7.40,8.50,1.10,9,https://onebite.app/restaurant/the-astarita-brooklyn-ny-6f9aa357,12/6/2023
Peppino's,469 5th Ave, Brooklyn, NY,7.90,8.00,0.10,22,https://onebite.app/restaurant/peppinos-brooklyn-ny-a5242a1b,12/5/2023
Smiling Pizzeria,323 7th Ave, Brooklyn, NY,7.70,7.40,-0.30,31,https://onebite.app/restaurant/smiling-pizzeria-brooklyn-ny-a13ce1dc,12/4/2023
Antonio's Pizza,318 Flatbush Ave, Brooklyn, NY,7.40,6.80,-0.60,31,https://onebite.app/restaurant/antonios-pizza-brooklyn-ny-f8593c41,12/1/2023
Zoli's Pizza,3501 Hulen St, Fort Worth, TX,7.90,7.40,-0.50,47,https://onebite.app/restaurant/zolis-pizza-fort-worth-tx-f1690d39,11/30/2023
Loui's Pizza,23141 Dequindre Rd, Hazel Park, MI,7.70,8.30,0.60,60,https://onebite.app/restaurant/louis-pizza-hazel-park-mi-22e19e35,11/29/2023
Palazzo Di Pizza,1222 E Eleven Mile Rd, Royal Oak, MI,7.90,8.00,0.10,26,https://onebite.app/restaurant/palazzo-di-pizza-royal-oak-mi-9ea76c7a,11/28/2023
Sicily's pizzeria and subs,3554 Vernor Hwy, Detroit, MI,7.60,8.10,0.50,39,https://onebite.app/restaurant/sicilys-pizzeria-and-subs-detroit-mi-6ee0babf,11/27/2023
Hysen's Nizza Pizza,401 University Dr, Fort Worth, TX,6.10,6.20,0.10,24,https://onebite.app/restaurant/hysens-nizza-pizza-fort-worth-tx-251a2fdd,11/22/2023
Moonlight Pizza,301 S Robinson Ave, Pen Argyl, PA,8.30,8.80,0.50,42,https://onebite.app/restaurant/moonlight-pizza-pen-argyl-pa-baa26cee,11/21/2023
Russo's Pizza,41 N Main St, New Hope, PA,7.50,7.60,0.10,55,https://onebite.app/restaurant/russos-pizza-new-hope-pa-b8e12026,11/20/2023
Lucatelli's Pizzeria,73 Old Dublin Pike, Doylestown, PA,7.80,7.60,-0.20,37,https://onebite.app/restaurant/lucatellis-pizzeria-doylestown-pa-96442da8,11/17/2023
Peppino's Tomato Pies,449 W Butler Ave, Chalfont, PA,7.80,7.60,-0.20,39,https://onebite.app/restaurant/peppinos-tomato-pies-chalfont-pa-a9c8fa30,11/15/2023
Lynwood Cafe,320 Center St, Randolph, MA,8,8.3,0.3,119,https://onebite.app/restaurant/lynwood-cafe-randolph-ma-2efc86c6,#N/A
Pizano's Pizza & Pasta,2106 S Indiana Ave, Chicago, IL,7.30,6.80,-0.50,34,https://onebite.app/restaurant/pizanos-pizza-and-pasta-chicago-il-6e89f66b,11/14/2023
Nonna's Pizza & Sandwiches,925 W Randolph St, Chicago, IL,7.30,6.70,-0.60,25,https://onebite.app/restaurant/nonnas-pizza-and-sandwiches-chicago-il-c6cfe95a,11/13/2023
Tomato Pie Pizza Joint,1130 Mission St, South Pasadena, CA,7.50,7.60,0.10,26,https://onebite.app/restaurant/tomato-pie-pizza-joint-south-pasadena-ca-3ae0c33f,11/10/2023
U Street Pizza,33 Union St, Pasadena, CA,7.10,6.60,-0.50,12,https://onebite.app/restaurant/u-street-pizza-pasadena-ca-4dc3faef,11/9/2023
Greenbush Bar,914 Regent St, Madison, WI,8.10,7.10,-1.00,20,https://onebite.app/restaurant/greenbush-bar-madison-wi-fab967fe,11/8/2023
Grampa's Pizzeria,1374 Willamson St, Madison, WI,8.10,6.30,-1.80,14,https://onebite.app/restaurant/grampas-pizzeria-madison-wi-7260f382,11/7/2023
Next Door Pub & Pizzeria,411 Interchange N, Lake Geneva, WI,7.10,7.40,0.30,30,https://onebite.app/restaurant/next-door-pub-and-pizzeria-lake-geneva-wi-b860c90d,11/6/2023
Oakfire,831 Wrigley Dr, Lake Geneva, WI,6.80,7.30,0.50,54,https://onebite.app/restaurant/oakfire-lake-geneva-wi-796bcd36,11/3/2023
SLYCE Coal-Fired Pizza Company,127 N Main St, Wauconda, IL,6.20,8.00,1.80,22,https://onebite.app/restaurant/slyce-coalfired-pizza-company-wauconda-il-4dbfa641,11/2/2023
SLYCE Coal-Fired Pizza Company,127 N Main St, Wauconda, IL,6.20,8.00,1.80,22,https://onebite.app/restaurant/slyce-coalfired-pizza-company-wauconda-il-4dbfa641,11/2/2023
Uncle Jerry's Pizza Company,133 W Main St, Cary, IL,8.30,8.00,-0.30,42,https://onebite.app/restaurant/uncle-jerrys-pizza-company-cary-il-219f6261,11/1/2023
Sal's Pizza Company,5 Hanson Rd, Algonquin, IL,7.60,7.30,-0.30,13,https://onebite.app/restaurant/sals-pizza-company-algonquin-il-2cb9d061,10/31/2023
Village Pizza & Pub,145 N Kennedy Dr, Carpentersville, IL,7.70,8.00,0.30,14,https://onebite.app/restaurant/village-pizza-and-pub-carpentersville-il-a3137899,10/30/2023
Xeno's Pizza,163 E 52nd St, New York, NY,7.70,7.00,-0.70,22,https://onebite.app/restaurant/xenos-pizza-new-york-ny-b827920c,10/26/2023
Fiorentina Pizzeria and Grill,852 8th Ave, New York, NY,7.30,6.40,-0.9,10,https://onebite.app/restaurant/fiorentina-pizzeria-and-grill-new-york-ny-27d5ccbe,10/24/2023
Pizza Fenice,304 Fifth Ave, Village of Pelham, NY,7.80,8.20,0.40,17,https://onebite.app/restaurant/pizza-fenice-village-of-pelham-ny-1e87863e,10/23/2023
Roma,29 Columbus Ave, Tuckahoe, NY,7.90,8.10,0.20,29,https://onebite.app/restaurant/roma-tuckahoe-ny-6f67a82e,10/20/2023
Cosimo & Johnny's Pizzeria,330 White Plains Rd, Eastchester, NY,7.40,7.60,0.20,30,https://onebite.app/restaurant/cosimo-and-johnnys-pizzeria-eastchester-ny-5a2c475b,10/19/2023
Polpettina,102 Fisher Ave, Eastchester, NY,8.20,7.90,-0.30,39,https://onebite.app/restaurant/polpettina-eastchester-ny-54baca0a,10/18/2023
City Slice Pizza and Pints,124 W Chimes St, Baton Rouge, LA,6.20,6.90,0.70,35,https://onebite.app/restaurant/city-slice-pizza-and-pints-baton-rouge-la-c64c2b86,10/17/2023
Schlittz & Giggles,2355 Ferndale Ave, Baton Rouge, LA,4.20,7.10,2.90,26,https://onebite.app/restaurant/schlittz-and-giggles-baton-rouge-la-4c36d230,10/16/2023
