Name,Date,City,State,Score:,Year,Pizza Type,Pizza Attributes,Notes
Benny Marzano's,9/30/2017 14:00,Blacksburg, VA,7.1,2017,New York Style,"Large Slice, Zero Flop, ",
The Grotto Pizzeria & Ristor...,5/1/2017 14:00,New York, NY,3.3,2017,New York Style,"Greasy, Little Flop, ",
Norma,7/11/2017 14:00,New York, NY,7.8,2017,Neopolitan,"Fancy, Margarita, ","<- discuss method of finding, tagging on Twitter/Insta"
Adoro Lei,10/12/2017 14:00,New York, NY,7.8,2017,Football Pizza,"Little Flop, Crispy",
Avalon Downtown Pizzeria,10/18/2017 14:00,Youngstown, OH,7.1,2017,Football Pizza,"Owner-Watching, Heavy, ",
Royal Pizza,2/13/2017 13:00,New York, NY,7.5,2017,Football Pizza,"Little Flop, Doughy",
Brunetti Pizza - West Villag...,3/9/2017 13:00,New York, NY,8.2,2017,Neopolitan,"Floppy, Fancy, ",
Angelo's Coal Oven Pizzeria,1/16/2017 13:00,New York, NY,9.3,2017,Coal-Fired,,
D Napoli Pizza,1/26/2017 13:00,New York, NY,5.2,2017,New York Style,Little Flop,
Pizza Italia,1/5/2017 13:00,New York, NY,4.2,2017,New York Style,"Little Flop, Awful Taste",
Majestic Pizza and Calzones,11/15/2017 13:00,New York, NY,7.1,2017,New York Style,Floppy,
New York Sal's Pizza,11/27/2017 13:00,New York, NY,7.1,2017,New York Style,"Little Flop, Midtown Rip",
Alphonso's Pizzeria & Tratto...,7/17/2017 14:00,New York, NY,6.2,2017,New York Style,Zero Flop,
Encore Beach Club,8/29/2017 14:00,Las Vegas, NV,1.4,2017,Neopolitan,"Fancy, Margarita, ",
Bocce USQ,6/20/2018 16:42,New York, NY,7.8,2018,Neopolitan,"Light, ",
Jekyll & Hyde,10/31/2018 18:10,New York, NY,1.9,2018,New York Style,Floppy,
Sottosuolo NYC,1/4/2018 13:00,New York, NY,6.3,2018,Neopolitan,"Fancy, Margarita",
Baldie's Pizza & Subs,7/18/2018 12:41,Lakeville, MA,6.2,2018,New York Style,Zero Flop,
Red's Savoy Pizza,2/3/2018 13:00,Minneapolis, MN,7.1,2018,Tavern Style,,
Jiannetto's Pizza Truck,9/5/2018 18:00,STATEN ISLAND, NY,8.1,2018,Square Style,"Light on Cheese, Grandma",
Rocco's Pizzeria,7/27/2018 16:00,Vineyard Haven, MA,6.9,2018,New York Style,"Zero Flop, ",
Lions & Tigers & Squares Det...,5/11/2018 14:00,New York, NY,7.1,2018,Detroit Style,,
Churchill Downs,11/2/2018 18:00,Louisville, KY,0.2,2018,New York Style,"Floppy, Greasy",
Neapolitan Express,10/16/2018 18:00,New York, NY,7.2,2018,Neopolitan,,
Mama's Pizzeria,9/21/2018 18:00,New York, NY,6.9,2018,New York Style,Zero Flop,
Lou Malnati's Pizzeria,8/6/2018 18:00,Chicago, IL,8.2,2018,Chicago Deep Dish,,
Lucali,10/19/2018 18:00,Brooklyn, NY,9.3,2018,New York Style,"Light, Zero Flop",
Z Deli Pizzeria,11/8/2018 18:00,New York, NY,3.1,2018,New York Style,Zero Flop,
Sal's Pizzeria,10/17/2018 18:19,Brooklyn, NY,6.7,2018,New York Style,"Midtown Rip, Crispy ","<-- mentioned methodology, find highest scores"
Broadway Pizza,9/19/2018 18:00,New York, NY,6.2,2018,New York Style,"Zero Flop, Midtown Rip",
La Bellezza Pizza,1/12/2018 13:00,New York, NY,7.1,2018,New York Style,Zero Flop,
Casa D'amici,2/19/2018 13:00,Morgantown, WV,6.5,2018,New York Style,Zero Flop,
Frankie Boy's Pizza,10/10/2018 18:14,New York, NY,4.8,2018,New York Style,Floppy,
Backroom Pizza,10/12/2018 18:00,Ann Arbor, MI,1.2,2018,New York Style,Zero Flop,
Stage Door Pizzeria,11/12/2018 18:00,New York, NY,7.4,2018,New York Style,"Little Flop, Midtown Rip",
Famous Ben's Pizza,10/18/2018 18:00,New York, NY,8.1,2018,New York Style,Little Flop,
Florina Pizzeria & Paninotec...,10/23/2018 18:00,Boston, MA,8.2,2018,Football Pizza,"Zero Flop, Good Tang Sauce",
Bonanno's New York Pizzeria ...,3/24/2018 12:00,Las Vegas, NV,3.2,2018,New York Style,"Zero Flop, Putrid",
Fusaro's,7/19/2018 18:00,Nantucket, MA,7.4,2018,Football Pizza,"Little Flop, Little Greasy",
La Nonna Krispy Krust Pizza,3/14/2019 18:00,Brooklyn, NY,7.4,2019,New York Style,"Zero Flop, Good Crisp, Standard",
Mike's Pizza Palace,12/25/2019 18:00,Naugatuck, CT,6.6,2019,Greek Style,Little Greasy,
Lombardo's,7/31/2019 18:00,White Plains, NY,7.4,2019,Football Pizza,"Little Flop, Doughy, Fresh Ingredients",
Palms Pizza,3/29/2019 18:00,Las Vegas, NV,7.4,2019,New York Style,Good Crust,
Paulie Gee's,3/13/2019 19:03,Brooklyn, NY,7.3,2019,New York Style,"Floppy, Greasy",
Post Office Pies,10/14/2019 18:00,Birmingham, AL,7.1,2019,Wood Fired,"Doughy, ",
Manco & Manco Pizza,5/21/2019 18:00,Ocean City, NJ,7.3,2019,New York Style,Zero Flop,
Mulberry Street Pizzeria,3/25/2019 18:00,Beverly Hills, CA,7.5,2019,New York Style,"Little Flop, Good Tang Sauce",
Stromboli Pizza,4/16/2019 18:00,New York, NY,3.2,2019,New York Style,"Little Flop, ",
Salerno's Cafe,8/22/2019 18:00,Old Forge, PA,7.1,2019,Square Style,"Soupy, Heavy",
Jet's Pizza,12/19/2019 18:00,New York, NY,7.4,2019,Square Style,,
Lorenzo & Sons Pizza,1/14/2019 18:00,Philadelphia, PA,6.5,2019,Drunk Pizza,"Little Flop, ",
Razza,12/11/2019 18:00,Jersey City, NJ,8.1,2019,Neopolitan,"Zero Flop, Fancy",
Boomershine Pizzeria,8/17/2019 12:00,Bluff City, TN,6.5,2019,Tavern Style,,
Porta,12/12/2019 18:00,Jersey City, NJ,7.1,2019,Neopolitan,Little Flop,
Pizzeria La Rosa,5/9/2019 18:00,New Rochelle, NY,7.9,2019,Wood Fired,"Margarita, Zero Flop, Crispy, Fancy",
Time Square Dollar Pizza,8/5/2019 18:00,New York, NY,4.9,2019,New York Style,,
Sotto 13,6/11/2019 18:00,New York, NY,6.9,2019,Neopolitan,"Margarita, Sweet Sauce",
John & Maria's Pizzeria,5/13/2019 18:00,East Haven, CT,8.5,2019,New Haven Style,Little Flop,
Village Square Pizza,4/1/2019 18:00,New York, NY,7.6,2019,New York Style,Zero Flop,
Grand Apizza Shoreline,6/17/2019 18:00,Clinton, CT,8.2,2019,New Haven Style,Little Greasy,<- checked one bite app
Bonnie & Clyde's Pizza Parlo...,5/7/2019 18:00,Louisville, KY,7.4,2019,Family Style,,
IL Brigante,9/2/2019 18:00,New York, NY,7.1,2019,Neopolitan,,<- 7.1 is his go to score
Vinny's Restaurant & Pizzeri...,12/26/2019 18:00,Naugatuck, CT,6.8,2019,New York Style,Floppy,
Bill's Pizzeria Kitchen + Gr...,1/7/2019 18:00,Hopkinton, MA,6.4,2019,Football Pizza,Greasy,
Pete & Elda's Bar / Carmen's...,2/12/2020 18:00,Neptune City, NJ,8.1,2020,Bar Pizza,,
Sam’s Boardwalk Style Pizza ...,10/27/2020 18:00,Havertown, PA,7.3,2020,New York Style,Zero Flop,
Grafa Pizza,2/3/2020 18:00,Miami Beach, FL,7.1,2020,New York Style,"Little Flop, Little Greasy",
Grandma's Original Pizza,1/10/2020 18:00,Brooklyn, NY,7.2,2020,New York Style,"Doughy, Little Flop",
Cittanuova,8/20/2020 18:08,East Hampton, NY,6.7,2020,New York Style,Little Flop,
Aiello's Pizza,9/25/2020 18:00,Pittsburgh, PA,6.1,2020,New York Style,"Heavy, Little Flop, Good Crust",
Napoli Pizza & Pasta,2/10/2020 18:00,Astoria, NY,7.5,2020,Football Pizza,,
Pizza District,6/18/2020 18:00,Boca Raton, FL,7.6,2020,New York Style,"Zero Flop, Good Undercarriage, Crispy, Thin",
British Beer Company,7/22/2020 18:00,Hyannis, MA,6.8,2020,New York Style,Little Flop,
Pizza Collective,9/4/2020 18:00,New York, NY,7.6,2020,Square Style,,
Curioni's,12/2/2020 18:00,Lodi, NJ,7.7,2020,New York Style,Heavy,
Montesini Pizza,11/3/2020 18:00,Philadelphia, PA,7.4,2020,Football Pizza,"Good Crust, Zero Flop, Crispy",
Enjay's Pizza,10/1/2020 18:00,Philadelphia, PA,6.8,2020,New York Style,"Floppy, Heavy",
Eddie's Pizza,1/21/2020 18:00,New Hyde Park, NY,7.8,2020,Bar Pizza,,
Pennachio's,8/24/2020 18:00,Manorville, NY,7.5,2020,New York Style,"Midtown Rip, Floppy",
Goodfellas Pizzeria - Distil...,11/6/2020 18:00,Lexington, KY,7.7,2020,New York Style,,
Colombo's Cafe & Pastries,8/6/2020 18:00,Hyannis, MA,7.4,2020,New York Style,"Good Crisp, Zero Flop",
Pizzeria Stella,9/21/2020 18:00,Philadelphia, PA,7.1,2020,Neopolitan,"Fancy, Margarita, Zero Flop","<- Neopolitian starts at 6.8 (""standard median"")"
Shelley's Pizza,7/1/2020 18:00,Wilkes Barre, PA,7.3,2020,New York Style,"Little Flop, Thin",
The Brick Fire Baked Pizza,1/15/2020 18:00,Hoboken, NJ,7.3,2020,New York Style,"Brick Oven, Greasy, Heavy, ",
Grand Avenue Pizza,2/7/2020 18:00,Astoria, NY,7.9,2020,Football Pizza,Zero Flop,
Pizza Jawn,10/14/2020 18:00,Philadelphia, PA,8.1,2020,Football Pizza,"Margarita, Zero Flop, Fancy",
Pasquale's Restaurant and Pi...,6/25/2020 18:00,Boonton, NJ,6.5,2020,New York Style,,
Luigi's Coal Oven Pizza,5/27/2020 18:00,Fort Lauderdale, FL,7.8,2020,Coal-Fired,Good Undercarriage,
Strong's Brick Oven Pizzeria,2/20/2020 18:00,Lawrenceburg, IN,6.7,2020,,"Brick Oven, Zero Flop, Crispy",
Joe's Famous Pizza,10/7/2021 18:00,Vauxhall, NJ,7.9,2021,Bar Pizza,,
Collins Pizza,5/3/2021 18:00,Miami Beach, FL,7.2,2021,New York Style,"Little Flop, Little Greasy, Heavy",
Pennsylvania 6 NYC,9/9/2021 18:00,New York, NY,6.2,2021,Neopolitan,"Tangy Sauce, Floppy",
Uncle Oogie's,9/10/2021 18:00,Sea Isle City, NJ,6.9,2021,New York Style,"Floppy, Thin",
Pasquale's Pizza,6/23/2021 18:00,Indianapolis, IN,6.7,2021,Tavern Style,,
Lazzaro Bowls,5/20/2021 18:00,New York, NY,2.9,2021,Unknown,,
Tavolino Pizzeria,5/10/2021 18:00,Wallington, NJ,7.5,2021,New York Style,"Soupy, Good Undercarriage, Greasy",
Calabria Restaurant & Pizzer...,1/15/2021 18:00,Livingston, NJ,8.9,2021,Thin Crust,Zero Flop,
Famous Original J's Pizza,10/31/2021 18:00,Denver, CO,7.4,2021,New York Style,Good Undercarriage,
DeFazio's Pizzeria,8/19/2021 18:00,Troy, NY,8.2,2021,Troy Style,,
Brooklyn Pizza,2/26/2021 18:00,Short Hills, NJ,7.9,2021,New York Style,Zero Flop,8s should travel for
Café Villa,1/18/2021 18:00,Chatham, NJ,7.1,2021,Football Pizza,,
Leo's Pizza,2/18/2021 18:00,Miami, FL,6.7,2021,New York Style,Doughy,
Bruno's Pizza & Restaurant,10/5/2021 18:00,Clifton, NJ,7.3,2021,Football Pizza,,
Detroit Frankie's Wood Fired...,1/27/2021 18:00,Lansing, MI,7.5,2021,Wood Fired,"Little Flop, Light",
D 'Andrea's Pizza,8/4/2021 18:00,Saratoga Springs, NY,7.2,2021,New York Style,Zero Flop,
Unregular Pizza,7/14/2021 18:00,New York, NY,7.3,2021,Neopolitan,"Fancy, Margarita, Little Flop, Heavy",
Jerusalem Cafe,10/12/2021 18:00,New York, NY,6.8,2021,New York Style,Floppy,
Pizza Pazza,4/30/2021 18:00,Miami, FL,7.3,2021,Neopolitan,,
Blade + Salt,7/22/2021 18:00,Montauk, NY,7.5,2021,New York Style,"Good Undercarriage, ",
Three Brothers From Italy,6/3/2021 18:00,Seaside Heights, NJ,4.8,2021,New York Style,Little Flop,
Crispelli's Bakery & Pizzeri...,2/10/2021 18:00,Berkley, MI,7.3,2021,New York Style,"Brick Oven, Floppy",
Alibi,2/7/2021 15:00,Troy, MI,6.9,2021,Greek Style,"Little Flop, Greasy, Heavy",
Marble Room Steaks and Raw B...,9/15/2021 18:00,Cleveland, OH,7.4,2021,California Style,,
Ilforno Pizza & Ristorante,12/10/2021 18:00,Secaucus, NJ,6.8,2021,Football Pizza,"Zero Flop, Heavy",
College Pizza,10/31/2022 18:00,State College, PA,1.8,2022,New York Style,Floppy,
Ledo Pizza,11/25/2022 18:00,New York, NY,6.7,2022,Square Style,,
Pin-Up Pizza,9/28/2022 18:00,Las Vegas, NV,4.8,2022,New York Style,Floppy,
Blondies Pizza,4/29/2022 18:00,Toronto, ON,6.8,2022,New York Style,Little Flop,
Pizza Pro's,12/7/2022 18:00,DeKalb, IL,6.3,2022,New York Style,Doughy,
The Pizza Place,7/15/2022 18:00,Bridgehampton, NY,4.2,2022,New York Style,"Very Floppy, Greasy",1 dollar slice comparison
Pizzeria Ora - Chicago Style...,1/13/2022 18:00,Chicago, IL,7.3,2022,Tavern Style,Thin,
Annex the Lord Stanley's,12/8/2022 18:00,DeKalb, IL,7.3,2022,Tavern Style,Little Greasy,
Jeff's Pizza,12/27/2022 18:00,East Providence, RI,8.1,2022,New Haven Style,,
Alton Food Hall,10/27/2022 18:00,Miami Beach, FL,5.9,2022,Flatbread,,
Claudio's Pizza,7/7/2022 18:00,Greenport, NY,7.3,2022,New York Style,Zero Flop,
Francesca's Pizza & Italian ...,8/8/2022 18:00,Liverpool, NY,7.4,2022,Football Pizza,"Good Crisp, Thick",
Toss 'n' Fire Wood-Fired Piz...,8/3/2022 18:00,North Syracuse, NY,7.2,2022,Wood Fired,"Little Flop, Good Tang Sauce",
Stella's Pizza,6/27/2022 18:00,Watertown, MA,7.8,2022,New York Style,"Zero Flop, Thin",
Mateo's Tomato Pie & Restaur...,11/22/2022 18:00,Hainesport, NJ,7.2,2022,Tomato Pie,"Zero Flop, Good Crisp",
Descendant Detroit Style Piz...,5/3/2022 18:00,Toronto, ON,8.1,2022,Detroit Style,Light,
Nanuet Restaurant,12/21/2022 18:00,Nanuet, NY,7.2,2022,Bar Pizza,Little Flop,
The Pizza Spot,2/24/2022 18:00,Fort Lauderdale, FL,7.4,2022,New Haven Style,Floppy,
O'Scugnizzo Pizzeria,8/17/2022 18:00,Utica, NY,8.1,2022,Square Style,,
Joe's Rotisseria,1/11/2022 18:00,Roselle Park, NJ,7.2,2022,New York Style,"Light, Floppy",
Nola’s Osteria & Pizza,10/17/2022 18:00,Garwood, NJ,7.8,2022,Bar Pizza,"Zero Flop, Crispy",
Teglia Pizza Bar,11/3/2022 18:00,Montclair, NJ,7.9,2022,Roman Style,,
Mad Mushroom Pizza,11/10/2022 18:00,Lexington, KY,5.2,2022,New York Style,"Little Greasy, Little Flop",
Bricco Coal Fired Pizza,11/18/2022 18:00,Westmont, NJ,7.9,2022,Coal-Fired,"Zero Flop, ",
MozzaPi,5/10/2023 18:00,Louisville, KY,6.1,2023,Neopolitan,Floppy,
Naudi Signature Pizza,10/6/2023 18:00,Chicago, IL,7.2,2023,New York Style,"Light, ",
Moonlight Pizza,11/21/2023 18:00,Pen Argyl, PA,8.3,2023,New York Style,"Zero Flop, ",
Joe & John's Pizzeria,5/15/2023 18:00,Ridgewood, NY,7.5,2023,Football Pizza,"Good Undercarriage, ",
Max & Issy’s,10/9/2023 18:00,Chicago, IL,7.9,2023,New York Style,"Thin, Zero Flop, Good Crisp",
Riverview Restaurant,3/20/2023 18:00,Ipswich, MA,8.2,2023,Bar Pizza,"Light, Little Floppy",
Sovrana,8/9/2023 18:08,Albany, NY,7.2,2023,New York Style,"Little Flop, Heavy, Doughy",
Whispering Pies,7/7/2023 18:00,Carthage, NC,5.9,2023,New York Style,"Little Greasy, Thin",
Luv pizza,7/6/2023 18:00,New York, NY,4.2,2023,New York Style,"Little Flop, Greasy",
Ziggy’s,8/23/2023 18:00,Brighton, MA,7.6,2023,New York Style,"Good Undercarriage, Little Greasy, Crispy",
Dicey's Tavern,1/27/2023 18:00,Nashville, TN,7.7,2023,Tavern Style,,
Pizza Roma,8/24/2023 18:00,Watertown, MA,7.1,2023,New York Style,"Floppy, No Crisp, Soupy",
Romo's Pizza,9/8/2023 18:00,Glenmont, NY,7.9,2023,New York Style,"Fancy, Heavy",
Tony's New York Pizza,4/5/2023 18:00,Houston, TX,6.7,2023,New York Style,"Greasy, Little Flop, Heavy",
Pizzeria Serio,10/11/2023 18:00,Chicago, IL,7.4,2023,New York Style,"Good Undercarriage, Little Flop",
La Famiglia,9/13/2023 19:00,Albany, NY,6.4,2023,New York Style,"Doughy, Floppy",
Europa Pizzeria,5/22/2023 18:00,Brooklyn, NY,7.3,2023,New York Style,"Thin, Zero Flop, Good Crisp",
Brewer's Fork,12/22/2023 18:00,Boston, MA,7.3,2023,Wood Fired,,
Pizza Fenice,10/23/2023 18:00,Village of Pelham, NY,7.8,2023,New York Style,"Good Undercarriage, Zero Flop, ",
Fiorentina Pizzeria and Gril...,10/24/2023 18:00,New York, NY,7.3,2023,Football Pizza,Zero Flop,
Roma Restaurant,10/20/2023 18:00,Tuckahoe, NY,7.9,2023,Football Pizza,"Good Crisp, Zero Flop",
U Street Pizza,11/9/2023 18:00,Pasadena, CA,7.1,2023,New York Style,Floppy,
Pizzeria Enzina,12/19/2023 18:00,Waltham, MA,7.8,2023,Football Pizza,"Brick Oven, Good Undercarriage, Zero Flop, Crispy",
Bambini's Garden Pizzeria,3/8/2023 18:00,Delray Beach, FL,6.8,2023,New York Style,"Little Flop, ",
Nonna's Pizza & Sandwiches,11/13/2023 18:00,Chicago, IL,7.3,2023,Margarita,,
Crispy Haven,8/23/2023 18:00,New York,NY,7.1,2023,Neopolitan,"Crispy, Little Flop",
Antico Forno,4/13/2023 18:00,Venice,IT,7.3,2023,Neopolitan,,
,,,,,,,,
