Name,Date,City,State,Score,Raw Url,Url
OakCraft Pizza,6/27/2024 18:00,Nashua, NH,5.8,https://onebite.app/restaurant/oakcraft-pizza-nashua-nh-32e32a55/review/e36b7975-e6de-4dbc-bae9-a82f41023b49,https://onebite.app/restaurant/oakcraft-pizza-nashua-nh-32e32a55
Five Squared Pizza,6/26/2024 18:00,Chicago, IL,7.8,https://onebite.app/restaurant/five-squared-pizza-chicago-il-2c79abae/review/903fc5ef-a6f6-4f9c-9aa2-c749b95fcfd8,https://onebite.app/restaurant/five-squared-pizza-chicago-il-2c79abae
Tripoli Tap,6/25/2024 18:00,Chicago, IL,6.5,https://onebite.app/restaurant/tripoli-tap-chicago-il-23cd966e/review/ae66ee9d-2c4d-49a2-a868-74797c19e657,https://onebite.app/restaurant/tripoli-tap-chicago-il-23cd966e
The Slice Spot,6/24/2024 18:00,West Chicago, IL,6.8,https://onebite.app/restaurant/the-slice-spot-west-chicago-il-09c31f25/review/9d57f65e-1556-4b26-a2c1-599ac8a25096,https://onebite.app/restaurant/the-slice-spot-west-chicago-il-09c31f25
Phil's Pizza,6/20/2024 18:00,Oak Lawn, IL,7.3,https://onebite.app/restaurant/phils-pizza-oak-lawn-il-67104004/review/b9541ad3-3fc6-4ebc-a6fc-74d1b49985f0,https://onebite.app/restaurant/phils-pizza-oak-lawn-il-67104004
Christo's Restaurant & Bar,6/19/2024 18:00,Wallingford, CT,8.3,https://onebite.app/restaurant/christos-restaurant-and-bar-wallingford-ct-deb55939/review/790bb44e-9aae-4832-845e-d39add227a40,https://onebite.app/restaurant/christos-restaurant-and-bar-wallingford-ct-deb55939
Luna Woodfired Pizza,6/18/2024 18:00,Naugatuck, CT,8.1,https://onebite.app/restaurant/luna-woodfired-pizza-naugatuck-ct-96085102/review/3a98e567-09b5-40a3-bef8-010b53cd0a25,https://onebite.app/restaurant/luna-woodfired-pizza-naugatuck-ct-96085102
Louie's,6/17/2024 18:00,Dallas, TX,7.6,https://onebite.app/restaurant/louies-dallas-tx-13467a53/review/da2d44e3-7bd1-491e-9621-856d1b06ae8d,https://onebite.app/restaurant/louies-dallas-tx-13467a53
Pizza Leila - Downtown,6/14/2024 18:00,Dallas, TX,7.2,https://onebite.app/restaurant/pizza-leila-downtown-dallas-tx-298f8eab/review/5ba61da0-c134-4d00-9331-2767f991351e,https://onebite.app/restaurant/pizza-leila-downtown-dallas-tx-298f8eab
Sasso's Coal Fired Pizza,6/13/2024 18:00,Torrington, CT,8.1,https://onebite.app/restaurant/sassos-coal-fired-pizza-torrington-ct-d38b48c9/review/9a761894-ab4a-4e24-a48f-698de8c4b768,https://onebite.app/restaurant/sassos-coal-fired-pizza-torrington-ct-d38b48c9
Roma Pizza,6/12/2024 18:00,Torrington, CT,7.7,https://onebite.app/restaurant/roma-pizza-torrington-ct-982e4ca8/review/25192c92-c032-4cd3-9a36-edc7e8e01bfd,https://onebite.app/restaurant/roma-pizza-torrington-ct-982e4ca8
E&D Pizza Company,6/11/2024 18:00,Avon, CT,7.9,https://onebite.app/restaurant/eandd-pizza-company-avon-ct-81387a57/review/770e9049-1d4a-471b-b9c0-d0b390461d1f,https://onebite.app/restaurant/eandd-pizza-company-avon-ct-81387a57
DaCapo of Avon,6/10/2024 18:00,Avon, CT,7.5,https://onebite.app/restaurant/dacapo-of-avon-avon-ct-aabb432d/review/f253ee74-ad8f-4378-b5ae-0f8268c5f7d3,https://onebite.app/restaurant/dacapo-of-avon-avon-ct-aabb432d
Zephyr's Street Pizza,6/7/2024 18:00,West Hartford, CT,8.1,https://onebite.app/restaurant/zephyrs-street-pizza-west-hartford-ct-bfb01770/review/1d588f09-926a-4fe0-ade4-404204df4ab3,https://onebite.app/restaurant/zephyrs-street-pizza-west-hartford-ct-bfb01770
Savoy Pizzeria & Craft Bar,6/6/2024 18:00,West Hartford, CT,7.6,https://onebite.app/restaurant/savoy-pizzeria-and-craft-bar-west-hartford-ct-3bb3e619/review/dc6e8995-379b-4872-9573-fbefb41c9530,https://onebite.app/restaurant/savoy-pizzeria-and-craft-bar-west-hartford-ct-3bb3e619
Oakland Pizza Co.,6/5/2024 18:00,South Windsor, CT,7.9,https://onebite.app/restaurant/oakland-pizza-co-south-windsor-ct-08ce0f6e/review/e031233f-6433-42f1-aca4-8c17535ab23c,https://onebite.app/restaurant/oakland-pizza-co-south-windsor-ct-08ce0f6e
GG's Wood Fired Pizza,6/4/2024 18:00,Milford, CT,7.7,https://onebite.app/restaurant/ggs-wood-fired-pizza-milford-ct-1bbc1811/review/cfa9d58d-5713-4ff0-858b-63f426cda34f,https://onebite.app/restaurant/ggs-wood-fired-pizza-milford-ct-1bbc1811
New Haven Pizza Place,6/3/2024 18:00,Milford, CT,7.9,https://onebite.app/restaurant/new-haven-pizza-place-milford-ct-413fb3e0/review/b395c739-0fe9-4560-9012-c5026ed6915a,https://onebite.app/restaurant/new-haven-pizza-place-milford-ct-413fb3e0
Little Pops NY Pizzeria,6/1/2024 18:00,Naperville, IL,7.6,https://onebite.app/restaurant/little-pops-ny-pizzeria-naperville-il-cf8dc76d/review/8fe71a61-6f01-4d94-a546-14620d786b09,https://onebite.app/restaurant/little-pops-ny-pizzeria-naperville-il-cf8dc76d
Marco Pizzeria,5/31/2024 18:00,Branford, CT,7.8,https://onebite.app/restaurant/marco-pizzeria-branford-ct-7dde329e/review/24ab5553-2756-4b0b-a6a2-c82f163414f9,https://onebite.app/restaurant/marco-pizzeria-branford-ct-7dde329e
Capone's Pizza Bar,5/30/2024 18:00,Branford, CT,7.8,https://onebite.app/restaurant/capones-pizza-bar-branford-ct-3dddbb1b/review/f9ac7d3f-5f8f-4e00-8249-31168d29321e,https://onebite.app/restaurant/capones-pizza-bar-branford-ct-3dddbb1b
Amato’s Pizza & Pasta,5/29/2024 18:00,Madison, CT,8.1,https://onebite.app/restaurant/amatos-pizza-and-pasta-madison-ct-b066c7ba/review/141132da-bde0-45d5-a0dc-82a1c9d6287d,https://onebite.app/restaurant/amatos-pizza-and-pasta-madison-ct-b066c7ba
Carpanzano's Pizzeria,5/28/2024 18:00,Guilford, CT,8.2,https://onebite.app/restaurant/carpanzanos-pizzeria-guilford-ct-495e6d50/review/4f42397a-bc1d-41ab-8209-0c878f5d3830,https://onebite.app/restaurant/carpanzanos-pizzeria-guilford-ct-495e6d50
Mondo,5/24/2024 18:00,Middletown, CT,8.1,https://onebite.app/restaurant/mondo-middletown-ct-78aab4eb/review/7cb9e018-aaed-4572-b7a6-0a96742d1000,https://onebite.app/restaurant/mondo-middletown-ct-78aab4eb
Sicily Coal Fired Pizza,5/23/2024 18:00,Middletown, CT,7.8,https://onebite.app/restaurant/sicily-coal-fired-pizza-middletown-ct-c15bf507/review/8cc654d3-b92d-49a5-bfc1-c3616d2b5a0d,https://onebite.app/restaurant/sicily-coal-fired-pizza-middletown-ct-c15bf507
"K Pizza ""Pizza al Taglio""",5/22/2024 18:00,Miami, FL,6.3,https://onebite.app/restaurant/k-pizza-pizza-al-taglio-miami-fl-5577abf5/review/ecee60a5-aa0a-4264-b72f-8f495f5368f0,https://onebite.app/restaurant/k-pizza-pizza-al-taglio-miami-fl-5577abf5
Sapore Pizzeria & Bar,5/21/2024 18:00,Old Lyme, CT,7.9,https://onebite.app/restaurant/sapore-pizzeria-and-bar-old-lyme-ct-b4f38555/review/01e3143b-4e05-4de9-8026-ff9ccaddba2b,https://onebite.app/restaurant/sapore-pizzeria-and-bar-old-lyme-ct-b4f38555
Vincitori Apizza,5/20/2024 18:00,East Lyme, CT,7.6,https://onebite.app/restaurant/vincitori-apizza-east-lyme-ct-1ec3d85d/review/7fb5c3a8-d01c-4bf8-be69-e27ff6d940ee,https://onebite.app/restaurant/vincitori-apizza-east-lyme-ct-1ec3d85d
Mystic Pizza,5/17/2024 18:00,Mystic, CT,6.2,https://onebite.app/restaurant/mystic-pizza-mystic-ct-186648ae/review/dacaef73-99f0-4b6d-b5aa-1e5890ea81ce,https://onebite.app/restaurant/mystic-pizza-mystic-ct-186648ae
Olde Mistick Village,5/16/2024 18:00,Stonington, CT,7.5,https://onebite.app/restaurant/olde-mistick-village-stonington-ct-4fbb212e/review/5db46eb3-1c6c-499b-8a73-f48c1e4ddb46,https://onebite.app/restaurant/olde-mistick-village-stonington-ct-4fbb212e
Nina & Rafi,5/15/2024 18:00,Atlanta, GA,6.3,https://onebite.app/restaurant/nina-and-rafi-atlanta-ga-00b5a3d5/review/f7a9841f-80d0-4f9c-8944-3e5846514af9,https://onebite.app/restaurant/nina-and-rafi-atlanta-ga-00b5a3d5
Glide Pizza,5/14/2024 18:00,Atlanta, GA,7.7,https://onebite.app/restaurant/glide-pizza-atlanta-ga-d0a4b6c0/review/0f5c0cd4-45d1-409f-bc65-94c27cbbd0e7,https://onebite.app/restaurant/glide-pizza-atlanta-ga-d0a4b6c0
MTH Pizza,5/13/2024 18:00,, GA,7.5,https://onebite.app/restaurant/mth-pizza-ga-f736ee7e/review/ab495236-a88a-4ea5-8181-69a4986db7fe,https://onebite.app/restaurant/mth-pizza-ga-f736ee7e
Bonvini's Pizza,5/10/2024 18:00,Livingston, NJ,6.8,https://onebite.app/restaurant/bonvinis-pizza-livingston-nj-03e993cc/review/4794743e-f73c-4217-b538-ee091a466ae5,https://onebite.app/restaurant/bonvinis-pizza-livingston-nj-03e993cc
Cafe Crevier,5/9/2024 18:00,Denville, NJ,8.5,https://onebite.app/restaurant/cafe-crevier-denville-nj-f23240a0/review/ceac89a3-d031-46d3-a243-0cc96df6a537,https://onebite.app/restaurant/cafe-crevier-denville-nj-f23240a0
Coniglio's Old Fashioned,5/8/2024 18:00,Morristown, NJ,8.3,https://onebite.app/restaurant/coniglios-old-fashioned-morristown-nj-f4aeae2f/review/060e36d6-7175-4418-a4b0-d8e6770b0687,https://onebite.app/restaurant/coniglios-old-fashioned-morristown-nj-f4aeae2f
Krust Kitchen,5/7/2024 18:00,Madison, NJ,7.3,https://onebite.app/restaurant/krust-kitchen-madison-nj-fee6e6d2/review/67726639-24a1-4ef3-b1d0-19ef95ef2ebb,https://onebite.app/restaurant/krust-kitchen-madison-nj-fee6e6d2
Massa Roman Square Pizza & I...,5/6/2024 18:00,Scotch Plains, NJ,8.1,https://onebite.app/restaurant/massa-roman-square-pizza-and-italian-specialties-scotch-plains-nj-0a314d89/review/bf75d197-00e8-4351-9cb0-b6d4f33f11e7,https://onebite.app/restaurant/massa-roman-square-pizza-and-italian-specialties-scotch-plains-nj-0a314d89
IL FORNO A LEGNA,5/3/2024 18:00,Rahway, NJ,6.8,https://onebite.app/restaurant/il-forno-a-legna-rahway-nj-2f326d70/review/2e4010bd-28bb-4afe-95c8-8a6d200736e8,https://onebite.app/restaurant/il-forno-a-legna-rahway-nj-2f326d70
Sabatino’s,5/2/2024 18:00,Maplewood, NJ,7.8,https://onebite.app/restaurant/sabatinos-maplewood-nj-3e39e71f/review/fbd45be1-54ff-4d31-9660-3349bd3ff512,https://onebite.app/restaurant/sabatinos-maplewood-nj-3e39e71f
Bunny's Sports Bar,5/1/2024 18:00,South Orange, NJ,8.3,https://onebite.app/restaurant/bunnys-sports-bar-south-orange-nj-735a4cf4/review/3015aa99-75a0-467c-b81a-8ac0439213f5,https://onebite.app/restaurant/bunnys-sports-bar-south-orange-nj-735a4cf4
Nino's Pizza & Restaurant,4/30/2024 18:00,Harrison, NJ,7.4,https://onebite.app/restaurant/ninos-pizza-and-restaurant-harrison-nj-82b4fcf3/review/c3ac8bd0-111f-447c-b251-48ca13791876,https://onebite.app/restaurant/ninos-pizza-and-restaurant-harrison-nj-82b4fcf3
da-Angelo Pizzeria & Ristora...,4/29/2024 18:00,Albertson, NY,7.3,https://onebite.app/restaurant/daangelo-pizzeria-and-ristorante-albertson-ny-469b7150/review/0b369648-2122-43a1-a741-07b72aa79023,https://onebite.app/restaurant/daangelo-pizzeria-and-ristorante-albertson-ny-469b7150
Gino's Pizza,4/26/2024 18:00,Williston Park, NY,7.4,https://onebite.app/restaurant/ginos-pizza-williston-park-ny-9b9abf20/review/b09be2db-e0e4-4275-bfcd-96639750ce8b,https://onebite.app/restaurant/ginos-pizza-williston-park-ny-9b9abf20
Toskana Pizzeria Restaurant,4/25/2024 18:00,Queens, NY,7.3,https://onebite.app/restaurant/toskana-pizzeria-restaurant-queens-ny-445ea806/review/b1f906a3-99c4-4f38-ac3e-e39323802fd1,https://onebite.app/restaurant/toskana-pizzeria-restaurant-queens-ny-445ea806
Margherita Pizza,4/24/2024 18:00,Queens, NY,6.6,https://onebite.app/restaurant/margherita-pizza-queens-ny-ca960f09/review/f0b1d631-1ca4-4e03-ac63-9f8788b8b6c9,https://onebite.app/restaurant/margherita-pizza-queens-ny-ca960f09
Home Run Inn Pizza,4/23/2024 18:00,Chicago, IL,7.1,https://onebite.app/restaurant/home-run-inn-pizza-chicago-il-94b8edb3/review/1bac7e53-dcc0-4bab-87c0-c4aef5f739ce,https://onebite.app/restaurant/home-run-inn-pizza-chicago-il-94b8edb3
Danny's Pizza Place,4/22/2024 18:00,Chicago, IL,7.1,https://onebite.app/restaurant/dannys-pizza-place-chicago-il-4e93e1d2/review/fdb4cc44-f7f1-4cca-b5eb-793a4d7caf04,https://onebite.app/restaurant/dannys-pizza-place-chicago-il-4e93e1d2
Labriola Chicago,4/19/2024 18:00,Chicago, IL,7.5,https://onebite.app/restaurant/labriola-chicago-chicago-il-e2ef35fb/review/b76328cf-db69-4b4c-8084-12c2c6e78d5c,https://onebite.app/restaurant/labriola-chicago-chicago-il-e2ef35fb
Dante’s Tavern,4/18/2024 18:00,Chicago, IL,6.2,https://onebite.app/restaurant/dantes-tavern-chicago-il-1b2e5993/review/e10e890c-b6d7-48e5-b061-9766c286376c,https://onebite.app/restaurant/dantes-tavern-chicago-il-1b2e5993
Tortorice's Pizza & Catering,4/17/2024 18:00,Chicago, IL,7.3,https://onebite.app/restaurant/tortorices-pizza-and-catering-chicago-il-1381ad7d/review/1aeef3df-23fb-497d-933f-8dbc7c0d5f9d,https://onebite.app/restaurant/tortorices-pizza-and-catering-chicago-il-1381ad7d
Pizza By Napoli,4/16/2024 18:00,Phoenix, AZ,7.2,https://onebite.app/restaurant/pizza-by-napoli-phoenix-az-0ee51fd0/review/fba5aa89-5eb8-47a7-b16b-5d4126f0abb3,https://onebite.app/restaurant/pizza-by-napoli-phoenix-az-0ee51fd0
Arrivederci Pinnacle Peak,4/15/2024 18:00,Scottsdale, AZ,7.6,https://onebite.app/restaurant/arrivederci-pinnacle-peak-scottsdale-az-f10eaa24/review/07a92bd4-1f8a-4e6a-a3e8-92e4043fd1c8,https://onebite.app/restaurant/arrivederci-pinnacle-peak-scottsdale-az-f10eaa24
Trevor's Liquor,4/12/2024 18:00,Phoenix, AZ,8.3,https://onebite.app/restaurant/trevors-liquor-phoenix-az-59456f85/review/8491bcad-f150-4b91-b611-52db0b396f04,https://onebite.app/restaurant/trevors-liquor-phoenix-az-59456f85
Pizza on 40th,4/11/2024 18:00,Phoenix, AZ,7.1,https://onebite.app/restaurant/pizza-on-40th-phoenix-az-d4a1b77f/review/02b1c0a2-db1d-4b70-9d6e-10d743b395ef,https://onebite.app/restaurant/pizza-on-40th-phoenix-az-d4a1b77f
Andiamo Pizzeria,4/10/2024 18:00,Scottsdale, AZ,8.2,https://onebite.app/restaurant/andiamo-pizzeria-scottsdale-az-75e9d8e6/review/d4ffdc32-3090-46c4-9514-8d0012b68225,https://onebite.app/restaurant/andiamo-pizzeria-scottsdale-az-75e9d8e6
Pizzeria Sapienza,4/9/2024 18:00,Albany, NY,6.6,https://onebite.app/restaurant/pizzeria-sapienza-albany-ny-32d7fe69/review/7eb5f64a-461d-4dba-88f8-469d9161a810,https://onebite.app/restaurant/pizzeria-sapienza-albany-ny-32d7fe69
Prima Pizzeria,4/8/2024 18:00,Schenectady, NY,7.8,https://onebite.app/restaurant/prima-pizzeria-schenectady-ny-00c8387a/review/df14a30b-8c6e-458c-8b5f-03232aa90fbb,https://onebite.app/restaurant/prima-pizzeria-schenectady-ny-00c8387a
The Parlor Pizzeria,4/5/2024 18:00,Phoenix, AZ,7.3,https://onebite.app/restaurant/the-parlor-pizzeria-phoenix-az-7eab4954/review/7c52a62f-7925-4bfe-9359-71bcf102826c,https://onebite.app/restaurant/the-parlor-pizzeria-phoenix-az-7eab4954
La Grande Orange Pizzeria,4/4/2024 18:00,Phoenix, AZ,7.9,https://onebite.app/restaurant/la-grande-orange-pizzeria-phoenix-az-307340bc/review/56b7b9aa-3ddd-45a4-9aa2-cd48618c7a46,https://onebite.app/restaurant/la-grande-orange-pizzeria-phoenix-az-307340bc
North Italia,4/3/2024 18:00,Phoenix, AZ,6.6,https://onebite.app/restaurant/north-italia-phoenix-az-35df674b/review/0b208a9d-f8f3-4059-a0d9-58c303c8d94f,https://onebite.app/restaurant/north-italia-phoenix-az-35df674b
Marina’s Pizza & Pasta,4/2/2024 18:00,Tampa, FL,7.5,https://onebite.app/restaurant/marinas-pizza-and-pasta-tampa-fl-bd4289f4/review/47017e1b-1ee0-484c-a753-e9cf003a9290,https://onebite.app/restaurant/marinas-pizza-and-pasta-tampa-fl-bd4289f4
Lee's Grocery,4/1/2024 18:00,Tampa, FL,6.3,https://onebite.app/restaurant/lees-grocery-tampa-fl-e3028486/review/4485e874-3378-4497-bbd8-9491d5bbbab1,https://onebite.app/restaurant/lees-grocery-tampa-fl-e3028486
Santoro's Pizzeria,3/29/2024 18:00,Tampa, FL,7.8,https://onebite.app/restaurant/santoros-pizzeria-tampa-fl-cd6c3d07/review/4d31adce-f177-463d-91e4-9bb12cb3f80c,https://onebite.app/restaurant/santoros-pizzeria-tampa-fl-cd6c3d07
Sally O'Neal's Pizza Hotline,3/28/2024 18:00,Tampa, FL,6.1,https://onebite.app/restaurant/sally-oneals-pizza-hotline-tampa-fl-929d2356/review/75b2927a-b9dd-4268-8f33-d28151ba1aff,https://onebite.app/restaurant/sally-oneals-pizza-hotline-tampa-fl-929d2356
Forbici Modern Italian,3/27/2024 18:00,Tampa, FL,7.9,https://onebite.app/restaurant/forbici-modern-italian-tampa-fl-4b6ad563/review/b0bc5bd1-54f7-4359-b2ea-bca1c5d65ed0,https://onebite.app/restaurant/forbici-modern-italian-tampa-fl-4b6ad563
Palazzo Pizza,3/26/2024 18:00,Tampa, FL,6.4,https://onebite.app/restaurant/palazzo-pizza-tampa-fl-c140688a/review/6f7c2dca-50dd-40d0-8526-660820e03228,https://onebite.app/restaurant/palazzo-pizza-tampa-fl-c140688a
Piper's Scratch Pizza Shop,3/25/2024 18:00,Palm Harbor, FL,7.6,https://onebite.app/restaurant/pipers-scratch-pizza-shop-palm-harbor-fl-2c88b093/review/aeea2c0d-79ff-4917-9688-b591ef4722cd,https://onebite.app/restaurant/pipers-scratch-pizza-shop-palm-harbor-fl-2c88b093
DiGiorgio’s Pizzeria,3/22/2024 18:00,Palm Harbor, FL,7.5,https://onebite.app/restaurant/digiorgios-pizzeria-palm-harbor-fl-c3bbde91/review/edb01779-2107-4fa5-a08d-a59178c02ec7,https://onebite.app/restaurant/digiorgios-pizzeria-palm-harbor-fl-c3bbde91
Madison Avenue Pizza,3/21/2024 18:00,Dunedin, FL,7.7,https://onebite.app/restaurant/madison-avenue-pizza-dunedin-fl-adc1fe8a/review/5b1485ef-ced5-487d-9c27-b22e12dac0e8,https://onebite.app/restaurant/madison-avenue-pizza-dunedin-fl-adc1fe8a
The NONA Slice House,3/20/2024 18:00,Safety Harbor, FL,8.1,https://onebite.app/restaurant/the-nona-slice-house-safety-harbor-fl-0312de25/review/84317655-cb7e-462e-86d6-5a9ea18dceda,https://onebite.app/restaurant/the-nona-slice-house-safety-harbor-fl-0312de25
Cristino's Coal Oven Pizza,3/19/2024 18:00,Clearwater, FL,7.8,https://onebite.app/restaurant/cristinos-coal-oven-pizza-clearwater-fl-31d562d2/review/9db0bde0-95f4-4847-9a1f-5c441a5b5122,https://onebite.app/restaurant/cristinos-coal-oven-pizza-clearwater-fl-31d562d2
Pizza Box,3/18/2024 18:00,St. Petersburg, FL,7.8,https://onebite.app/restaurant/pizza-box-st-petersburg-fl-fa504266/review/d8909260-4358-47cd-8eb3-7b1dd01e26c8,https://onebite.app/restaurant/pizza-box-st-petersburg-fl-fa504266
Brooklyn Pizza Company,3/17/2024 19:30,Seminole, FL,7.4,https://onebite.app/restaurant/brooklyn-pizza-company-seminole-fl-63f11bc8/review/5e33e0f6-3b79-4cc0-8915-0ebb3fa9984e,https://onebite.app/restaurant/brooklyn-pizza-company-seminole-fl-63f11bc8
The Violet Stone Pizza & San...,3/15/2024 18:00,St. Petersburg, FL,7.9,https://onebite.app/restaurant/the-violet-stone-pizza-and-sandwiches-st-petersburg-fl-22b7adfb/review/48d2d7b0-f011-4ae7-a9db-ad6fb741dca2,https://onebite.app/restaurant/the-violet-stone-pizza-and-sandwiches-st-petersburg-fl-22b7adfb
DeLosa's Pizza,3/14/2024 18:00,Madeira Beach, FL,7.1,https://onebite.app/restaurant/delosas-pizza-madeira-beach-fl-f01689ff/review/376c3930-1f46-4994-a2d9-f7217fd8d869,https://onebite.app/restaurant/delosas-pizza-madeira-beach-fl-f01689ff
Britt's Pizza,3/13/2024 18:00,Treasure Island, FL,6.8,https://onebite.app/restaurant/britts-pizza-treasure-island-fl-dcf026e5/review/13cdc680-9ba2-4c60-a4e8-1031146204c6,https://onebite.app/restaurant/britts-pizza-treasure-island-fl-dcf026e5
Joey Brooklyn's Famous Pizza...,3/12/2024 18:00,St. Petersburg, FL,5.9,https://onebite.app/restaurant/joey-brooklyns-famous-pizza-kitchen-st-petersburg-fl-d283a8a7/review/d2835a1d-2bdc-4f54-8db9-7bc22e7cd6c9,https://onebite.app/restaurant/joey-brooklyns-famous-pizza-kitchen-st-petersburg-fl-d283a8a7
Tobys Original Little Italy ...,3/11/2024 18:00,St. Petersburg, FL,7.7,https://onebite.app/restaurant/tobys-original-little-italy-pizza-st-petersburg-fl-70e4d84c/review/289c69ce-2cd5-4c45-ae66-5c14f32f7063,https://onebite.app/restaurant/tobys-original-little-italy-pizza-st-petersburg-fl-70e4d84c
Gianni’s Pizza & More,3/8/2024 18:00,Bradenton, FL,7.3,https://onebite.app/restaurant/giannis-pizza-and-more-bradenton-fl-cce3348d/review/f1f1f30c-3473-4864-9bcf-4fd7c60b9dff,https://onebite.app/restaurant/giannis-pizza-and-more-bradenton-fl-cce3348d
Ricos Pizzeria,3/7/2024 18:00,Sarasota, FL,7.2,https://onebite.app/restaurant/ricos-pizzeria-sarasota-fl-19e1de09/review/1cbcb4e0-7799-4fa5-aaf2-b7d1d61372b4,https://onebite.app/restaurant/ricos-pizzeria-sarasota-fl-19e1de09
Venezia Italian Restaurant,3/6/2024 18:00,Sarasota, FL,6.7,https://onebite.app/restaurant/venezia-italian-restaurant-sarasota-fl-8bde1e6f/review/c3ea0fbe-5585-4fd0-91a2-799a18479f5a,https://onebite.app/restaurant/venezia-italian-restaurant-sarasota-fl-8bde1e6f
IL Panificio Pizzeria Downto...,3/5/2024 18:00,Sarasota, FL,7.4,https://onebite.app/restaurant/il-panificio-pizzeria-downtown-sarasota-fl-53ae411a/review/7598791d-5991-47b7-ad63-fd393e228c92,https://onebite.app/restaurant/il-panificio-pizzeria-downtown-sarasota-fl-53ae411a
Square Pie City,3/4/2024 18:00,Miami, FL,7.8,https://onebite.app/restaurant/square-pie-city-miami-fl-e20bbb37/review/49947aea-1464-4dbf-9425-0250bb99309c,https://onebite.app/restaurant/square-pie-city-miami-fl-e20bbb37
Zinncredible Pizza,3/1/2024 18:00,Davie, FL,4.8,https://onebite.app/restaurant/zinncredible-pizza-davie-fl-c8a2eb35/review/76cdd2cc-ee80-40d0-a4d7-6a6b89d9df1a,https://onebite.app/restaurant/zinncredible-pizza-davie-fl-c8a2eb35
